"ID","Key","Value"
"VS-SETTLE-S5","Sequence","5"
"CAP-DEV-CAP-PRIMARY","Level","0"
"CAP-DEV-S1","Level","0"
"CAP-DEV-S2","Level","0"
"CAP-DEV-S3","Level","0"
"CAP-DEV-S4","Level","0"
"CAP-DEV-S5","Level","0"
"CAP-DEV-S6","Level","0"
"CAP-DEV-S7","Level","0"
"CAP-CONNECT-PRIMARY","Level","0"
"CAP-CONN-S1","Level","0"
"CAP-CONN-S2","Level","0"
"CAP-CONN-S3","Level","0"
"CAP-CONN-S4","Level","0"
"CAP-CONN-S5","Level","0"
"CAP-CONN-S6","Level","0"
"CAP-TRANSPORT-PRIMARY","Level","0"
"CAP-TRAN-S1","Level","0"
"CAP-TRAN-S2","Level","0"
"CAP-TRAN-S3","Level","0"
"CAP-TRAN-S4","Level","0"
"CAP-TRAN-S5","Level","0"
"CAP-TRAN-S6","Level","0"
"CAP-BALANCE-PRIMARY","Level","0"
"CAP-BAL-S1","Level","0"
"CAP-BAL-S2","Level","0"
"CAP-BAL-S3","Level","0"
"CAP-BAL-S4","Level","0"
"CAP-BAL-S5","Level","0"
"CAP-SETTLE-PRIMARY","Level","0"
"CAP-SET-S1","Level","0"
"CAP-SET-S2","Level","0"
"CAP-SET-S3","Level","0"
"CAP-SET-S4","Level","0"
"CAP-SET-S5","Level","0"
"BO-DEV-CAP-PORTFOLIO","Level","0"
"BO-DEV-S1","Level","0"
"BO-DEV-S2","Level","0"
"BO-DEV-S3","Level","0"
"BO-DEV-S4","Level","0"
"BO-DEV-S5","Level","0"
"BO-DEV-S6","Level","0"
"BO-DEV-S7","Level","0"
"BO-CONNECT-PORTFOLIO","Level","0"
"BO-CONN-S1","Level","0"
"BO-CONN-S2","Level","0"
"BO-CONN-S3","Level","0"
"BO-CONN-S4","Level","0"
"BO-CONN-S5","Level","0"
"BO-CONN-S6","Level","0"
"BO-TRANSPORT-PORTFOLIO","Level","0"
"BO-TRAN-S1","Level","0"
"BO-TRAN-S2","Level","0"
"BO-TRAN-S3","Level","0"
"BO-TRAN-S4","Level","0"
"BO-TRAN-S5","Level","0"
"BO-TRAN-S6","Level","0"
"BO-BALANCE-PORTFOLIO","Level","0"
"BO-BAL-S1","Level","0"
"BO-BAL-S2","Level","0"
"BO-BAL-S3","Level","0"
"BO-BAL-S4","Level","0"
"BO-BAL-S5","Level","0"
"BO-SETTLE-PORTFOLIO","Level","0"
"BO-SET-S1","Level","0"
"BO-SET-S2","Level","0"
"BO-SET-S3","Level","0"
"BO-SET-S4","Level","0"
"BO-SET-S5","Level","0"
