"ID","Type","Name","Documentation"
"BO-CONN-S1","BusinessObject","Connection Application","Customer application and supporting information."
"BO-CONN-S2","BusinessObject","Feasibility Report","Assessment report of technical feasibility and constraints."
"BO-CONN-S3","BusinessObject","Connection Offer","Formal connection offer including terms, scope, and price."
"BO-CONN-S4","BusinessObject","Connection Design Package","Design drawings and specifications for the connection."
"BO-CONN-S5","BusinessObject","Connection Commissioning Report","Test results and commissioning report for the connection."
"BO-CONN-S6","BusinessObject","Energization Certificate","Certificate confirming energization and readiness."
"BO-TRANSPORT-PORTFOLIO","BusinessObject","Transport Service Portfolio","Portfolio of transport service agreements, plans, and records."
"BO-TRAN-S1","BusinessObject","Network Access Agreement","Executed access agreement and schedules."
"BO-TRAN-S2","BusinessObject","Access and Constraint Profile","Profile of access rights, capacities, and constraints."
"BO-TRAN-S3","BusinessObject","Schedule and Nomination","Schedules and nominations submitted by users."
"BO-TRAN-S4","BusinessObject","Power Quality Record","Power quality measurements, alarms, and logs."
"BO-TRAN-S5","BusinessObject","Outage Plan","Planned outage and switching plans and approvals."
"BO-TRAN-S6","BusinessObject","Network Charge Statement","Statement detailing network usage charges."
"BO-BALANCE-PORTFOLIO","BusinessObject","System Operation Portfolio","Portfolio of system operating plans, logs, and actions."
"BO-BAL-S1","BusinessObject","Operating Plan","Operating plan documents and constraints."
"BO-BAL-S2","BusinessObject","System State Dataset","SCADA/EMS datasets and snapshots of system state."
"BO-BAL-S3","BusinessObject","Balancing Action Set","Records of balancing actions, bids, and dispatches."
"BO-BAL-S4","BusinessObject","Restoration Plan and Log","Restoration plans and post-event logs."
"BO-BAL-S5","BusinessObject","Balancing Settlement Statement","Statements for balancing settlements and charges."
"BO-SETTLE-PORTFOLIO","BusinessObject","Settlement Portfolio","Portfolio of settlement data, calculations, and statements."
"BO-SET-S1","BusinessObject","Raw Meter Data Set","Raw metering data collected from devices and parties."
"BO-SET-S2","BusinessObject","Validated Meter Data","Validated, estimated, and aggregated meter data."
"BO-SET-S3","BusinessObject","Settlement Calculation","Intermediate calculation datasets and results."
"BO-SET-S4","BusinessObject","Settlement Statement","Final settlement statement or invoice to parties."
"BO-SET-S5","BusinessObject","Regulatory Report","Regulatory and transparency reports and submissions."
