"ID","Type","Name","Documentation"
"B4-3","BusinessObject","Connection Offer",""
"B4-4","BusinessObject","Connection Design",""
"B4-5","BusinessObject","Connection Agreement",""
"B4-6","BusinessObject","Energization Notice",""
"B5","BusinessObject","Incident and Restoration Artefacts",""
"B5-1","BusinessObject","Fault Record",""
"B5-2","BusinessObject","Outage Ticket",""
"B5-3","BusinessObject","Restoration Plan",""
"B5-4","BusinessObject","Incident Report",""
"B5-5","BusinessObject","Black Start Plan",""
"B6","BusinessObject","Market and Settlement Artefacts",""
"B6-1","BusinessObject","Meter Data",""
"B6-2","BusinessObject","Loss Factors",""
"B6-3","BusinessObject","Allocation Results",""
"B6-4","BusinessObject","Settlement Statement",""
"B6-5","BusinessObject","Invoice",""
"B6-6","BusinessObject","Balancing Bid",""
"B6-7","BusinessObject","Ancillary Service Contract",""
"B7","BusinessObject","Access and Governance Artefacts",""
"B7-1","BusinessObject","Access Product",""
"B7-2","BusinessObject","Tariff",""
"B7-3","BusinessObject","Capacity Right",""
"B7-4","BusinessObject","Market Platform Configuration",""
"B7-5","BusinessObject","Compliance Report",""
"B7-6","BusinessObject","Stakeholder Consultation Record",""
