"ID","Type","Name","Documentation"
"CAP_L2_VM","Capability","Vegetation Management","The ability to manage vegetation growth near power lines to prevent outages."
"CAP_L0_RTGC","Capability","Real-Time Grid Control","The ability to monitor, control, and optimize the bulk power system in real-time to ensure stability and reliability."
"CAP_L1_LGF","Capability","Load & Generation Forecasting","The ability to predict near-term electricity demand and generation output."
"CAP_L2_LGF_DF","Capability","Demand Forecasting","The ability to create accurate forecasts of electricity consumption across various time horizons."
"CAP_L2_LGF_GF","Capability","Generation Forecasting","The ability to predict the output of variable generation sources like wind and solar."
"CAP_L1_SMC","Capability","System Monitoring & Control","The ability to visualize grid status and execute remote control actions on grid equipment."
"CAP_L2_SCSO","Capability","SCADA System Operation","The ability to operate Supervisory Control and Data Acquisition systems to monitor and control the grid."
"CAP_L2_EDO","Capability","EMS/DMS Operation","The ability to operate Energy/Distribution Management Systems for advanced grid analysis and optimization."
"CAP_L2_ODL","Capability","Outage Detection & Localization","The ability to automatically detect power outages and pinpoint their location on the grid."
"CAP_L1_SBO","Capability","System Balancing & Optimization","The ability to balance electricity supply and demand continuously and optimize power flows."
"CAP_L2_FVR","Capability","Frequency & Voltage Regulation","The ability to maintain system frequency and voltage levels within safe operational limits."
"CAP_L2_ASD","Capability","Ancillary Service Dispatch","The ability to dispatch services like spinning reserves to support grid stability."
"CAP_L2_CM","Capability","Congestion Management","The ability to manage power flows to prevent overloading of transmission lines."
"CAP_L1_IRM","Capability","Incident & Restoration Management","The ability to manage the response to grid incidents and coordinate service restoration efforts."
"CAP_L2_FSR","Capability","Fault Isolation & Service Restoration","The ability to isolate faulted sections of the grid and restore power to customers through switching operations."
"CAP_L2_FCDC","Capability","Field Crew Dispatch & Coordination","The ability to dispatch and manage field crews for repair and restoration activities."
"CAP_L2_COC","Capability","Customer Outage Communication","The ability to provide timely and accurate information to customers during power outages."
"CAP_L0_GSP","Capability","Grid Service Provisioning","The ability to manage the processes for providing grid access and services to customers and third parties."
"CAP_L1_CCM","Capability","Customer Connection Management","The ability to manage the application and study phase of new grid interconnection requests."
"CAP_L2_IRP","Capability","Interconnection Request Processing","The ability to manage the intake, validation, and tracking of new service connection applications."
"CAP_L1_CI","Capability","Connection Implementation","The ability to manage the design, construction, and energization of new grid connections."
"CAP_L2_CDE","Capability","Connection Design & Engineering","The ability to create specific engineering designs for customer-requested grid interconnections."
"CAP_L2_CCE","Capability","Connection Construction & Energization","The ability to oversee the physical construction and final commissioning of a new service connection."
"CAP_L1_MB","Capability","Metering & Billing","The ability to measure customer energy consumption and manage the billing and invoicing process."
"CAP_L2_MDC","Capability","Metering & Data Collection","The ability to install, maintain, and collect data from electricity meters."
"CAP_L2_UDP","Capability","Usage Data Processing","The ability to validate, estimate, and aggregate meter data for billing purposes."
"CAP_L2_BI","Capability","Billing & Invoicing","The ability to generate and manage customer invoices based on processed usage data."
"CAP_L0_EMO","Capability","Energy Market Operations","The ability to participate in wholesale energy markets, including bidding, scheduling, and settlement."
"CAP_L1_TRM","Capability","Transmission Rights Management","The ability to manage the acquisition and scheduling of rights to use the transmission system."
"CAP_L2_TRM_AR","Capability","Auction & Reservation","The ability to participate in auctions and reserve transmission capacity."
"CAP_L2_TRM_S","Capability","Scheduling","The ability to create and submit schedules for energy transmission."
"CAP_L1_MSR","Capability","Market Settlement & Reconciliation","The ability to manage the financial settlement and reconciliation of energy market transactions."
"CAP_L2_MSR_C","Capability","Charge Calculation","The ability to calculate charges and credits based on market activity."
"CAP_L2_MSR_D","Capability","Dispute Resolution","The ability to manage and resolve discrepancies in market settlement statements."
"BO_L0_GA","BusinessObject","Grid Asset","Information representing the physical components of the electricity grid."
"BO_L1_TDI","BusinessObject","Transmission & Distribution Infrastructure","Information about the physical network components, such as lines, substations, and transformers."
"BO_L2_PL","BusinessObject","Power Line","Data defining the characteristics and state of a specific power line."
"BO_L2_SS","BusinessObject","Substation","Data defining the characteristics and state of a specific substation."
"BO_L2_TR","BusinessObject","Transformer","Data defining the characteristics and state of a specific transformer."
"BO_L1_AHR","BusinessObject","Asset Health Record","Information about the condition, performance, and risk associated with grid assets."
"BO_L2_AHR_CD","BusinessObject","Condition Data","Raw and processed data from inspections, sensors, and tests regarding asset health."
"BO_L2_AHR_RA","BusinessObject","Risk Analysis","The calculated risk profile and health index for a specific asset or asset class."
"BO_L1_MWO","BusinessObject","Maintenance Work Order","Information required to plan, execute, and track maintenance work on grid assets."
"BO_L2_MWO_D","BusinessObject","Work Order Details","The scope, required materials, and procedures for a specific maintenance task."
"BO_L2_MWO_S","BusinessObject","Work Order Status","The current status, resource assignment, and completion records for a work order."
"BO_L0_GS","BusinessObject","Grid State","Information representing the operational state of the electricity grid at any given time."
"BO_L1_RTGD","BusinessObject","Real-Time Grid Data","Streaming telemetry data from the grid, including measurements from various sensors."
"BO_L2_SCADAM","BusinessObject","SCADA Measurement","Real-time data points (e.g., voltage, current, power flow) from SCADA systems."
"BO_L2_PMUD","BusinessObject","Phasor Measurement Unit Data","High-resolution, time-synchronized data on voltage and current phasors."
"BO_L1_GTM","BusinessObject","Grid Topology Model","A digital representation of the grid's components and their electrical connectivity."
"BO_L2_GTM_N","BusinessObject","Network Model","The detailed electrical parameter model of the grid used for power flow analysis."
"BO_L2_GTM_C","BusinessObject","Connectivity Model","The representation of how grid components are physically and electrically connected."
"BO_L1_OR","BusinessObject","Outage Record","Information documenting a power outage event, its cause, and the restoration process."
"BO_L2_OR_L","BusinessObject","Outage Log","A time-stamped record of an outage event, including affected areas and customer reports."
"BO_L2_OR_R","BusinessObject","Restoration Plan","The sequence of switching actions and crew assignments required to restore service."
"BO_L0_GSA","BusinessObject","Grid Service Agreement","Information representing the contractual agreements for providing or receiving services from the grid."
"BO_L1_IA","BusinessObject","Interconnection Agreement","The legal and technical agreement for connecting a customer's facility to the grid."
"BO_L2_IA_T","BusinessObject","Terms & Conditions","The contractual terms, obligations, and service levels of an interconnection agreement."
"BO_L2_IA_TS","BusinessObject","Technical Specifications","The detailed engineering specifications and requirements for the physical interconnection."
"BO_L1_TSR","BusinessObject","Transmission Service Request","A formal request to reserve and schedule the use of the transmission network."
"BO_L2_TSR_R","BusinessObject","Request Details","The specific parameters of a transmission service request, such as path, capacity, and timing."
"BO_L2_TSR_S","BusinessObject","Service Schedule","The confirmed schedule and profile for an approved transmission service."
"BO_L1_CMD","BusinessObject","Customer Metering Data","Information about a customer's energy consumption collected from meters."
"BO_L2_CMD_I","BusinessObject","Interval Data","Granular time-series data of energy consumption, typically in 15- or 60-minute intervals."
"BO_L2_CMD_P","BusinessObject","Profile Data","Aggregated or processed consumption data used to create customer load profiles."
